AdmitDate,Count
2022-01-01,172
2022-01-02,187
2022-01-03,746
2022-01-04,717
2022-01-05,751
2022-01-06,626
2022-01-07,722
2022-01-08,198
2022-01-09,199
2022-01-10,773
2022-01-11,705
2022-01-12,737
2022-01-13,711
2022-01-14,691
2022-01-15,193
2022-01-16,198
2022-01-17,784
2022-01-18,710
2022-01-19,710
2022-01-20,632
2022-01-21,646
2022-01-22,209
2022-01-23,172
2022-01-24,736
2022-01-25,676
2022-01-26,736
2022-01-27,696
2022-01-28,642
2022-01-29,188
2022-01-30,173
2022-01-31,706
2022-02-01,716
2022-02-02,541
2022-02-03,600
2022-02-04,667
2022-02-05,172
2022-02-06,145
2022-02-07,771
2022-02-08,692
2022-02-09,732
2022-02-10,704
2022-02-11,718
2022-02-12,174
2022-02-13,162
2022-02-14,755
2022-02-15,719
2022-02-16,775
2022-02-17,570
2022-02-18,709
2022-02-19,180
2022-02-20,178
2022-02-21,765
2022-02-22,657
2022-02-23,750
2022-02-24,613
2022-02-25,623
2022-02-26,191
2022-02-27,189
2022-02-28,703
2022-03-01,706
2022-03-02,728
2022-03-03,665
2022-03-04,756
2022-03-05,206
2022-03-06,178
2022-03-07,737
2022-03-08,755
2022-03-09,747
2022-03-10,533
2022-03-11,701
2022-03-12,195
2022-03-13,169
2022-03-14,698
2022-03-15,638
2022-03-16,656
2022-03-17,653
2022-03-18,698
2022-03-19,203
2022-03-20,195
2022-03-21,799
2022-03-22,741
2022-03-23,786
2022-03-24,731
2022-03-25,793
2022-03-26,221
2022-03-27,181
2022-03-28,810
2022-03-29,739
2022-03-30,779
2022-03-31,728
2022-04-01,672
2022-04-02,206
2022-04-03,201
2022-04-04,745
2022-04-05,759
2022-04-06,774
2022-04-07,743
2022-04-08,742
2022-04-09,240
2022-04-10,196
2022-04-11,779
2022-04-12,739
2022-04-13,804
2022-04-14,703
2022-04-15,628
2022-04-16,193
2022-04-17,197
2022-04-18,746
2022-04-19,777
2022-04-20,803
2022-04-21,753
2022-04-22,774
2022-04-23,218
2022-04-24,197
2022-04-25,782
2022-04-26,763
2022-04-27,778
2022-04-28,771
2022-04-29,737
2022-04-30,233
2022-05-01,187
2022-05-02,760
2022-05-03,726
2022-05-04,764
2022-05-05,688
2022-05-06,718
2022-05-07,204
2022-05-08,200
2022-05-09,788
2022-05-10,786
2022-05-11,851
2022-05-12,807
2022-05-13,788
2022-05-14,233
2022-05-15,180
2022-05-16,774
2022-05-17,794
2022-05-18,810
2022-05-19,776
2022-05-20,742
2022-05-21,187
2022-05-22,174
2022-05-23,721
2022-05-24,679
2022-05-25,746
2022-05-26,715
2022-05-27,722
2022-05-28,215
2022-05-29,206
2022-05-30,200
2022-05-31,732
2022-06-01,777
2022-06-02,710
2022-06-03,759
2022-06-04,192
2022-06-05,205
2022-06-06,810
2022-06-07,771
2022-06-08,785
2022-06-09,734
2022-06-10,653
2022-06-11,215
2022-06-12,204
2022-06-13,753
2022-06-14,696
2022-06-15,786
2022-06-16,754
2022-06-17,772
2022-06-18,196
2022-06-19,176
2022-06-20,752
2022-06-21,745
2022-06-22,787
2022-06-23,705
2022-06-24,754
2022-06-25,205
2022-06-26,208
2022-06-27,762
2022-06-28,720
2022-06-29,757
2022-06-30,759
2022-07-01,755
2022-07-02,193
2022-07-03,192
2022-07-04,214
2022-07-05,801
2022-07-06,802
2022-07-07,715
2022-07-08,741
2022-07-09,242
2022-07-10,201
2022-07-11,777
2022-07-12,700
2022-07-13,837
2022-07-14,778
2022-07-15,801
2022-07-16,224
2022-07-17,220
2022-07-18,763
2022-07-19,750
2022-07-20,779
2022-07-21,705
2022-07-22,721
2022-07-23,237
2022-07-24,193
2022-07-25,734
2022-07-26,734
2022-07-27,781
2022-07-28,720
2022-07-29,691
